value	group
0.758634	Alpha
0.756008	Alpha
0.762358	Alpha
0.761246	Alpha
0.784994	Alpha
0.777733	Alpha
0.778421	Alpha
0.779959	Alpha
0.775046	Alpha
0.776293	Alpha
0.761864	Alpha
0.758656	Alpha
0.756657	Alpha
0.769919	Alpha
0.763583	Alpha
0.770971	Alpha
0.767125	Alpha
0.754383	Alpha
0.769196	Alpha
0.758318	Alpha
0.758687	Alpha
0.75868	Alpha
0.759199	Alpha
0.746768	Alpha
0.751907	Alpha
0.755993	Alpha
0.767903	Alpha
0.761261	Alpha
0.759217	Alpha
0.7882	Alpha
0.767397	Alpha
0.778673	Alpha
0.762088	Alpha
0.769805	Alpha
0.756563	Alpha
0.763399	Alpha
0.758869	Alpha
0.762506	Alpha
0.764815	Alpha
0.750034	Alpha
0.759111	Alpha
0.770762	Alpha
0.775747	Alpha
0.783924	Alpha
0.77488	Alpha
0.77287	Alpha
0.774063	Alpha
0.773564	Alpha
0.762695	Alpha
0.761391	Alpha
0.763272	Alpha
0.770146	Alpha
0.775965	Alpha
0.77571	Alpha
0.750732	Alpha
0.773803	Alpha
0.766523	Alpha
0.765007	Alpha
0.780698	Alpha
0.777717	Alpha
0.778139	Alpha
0.779356	Alpha
0.769964	Alpha
0.76173	Alpha
0.764236	Alpha
0.759256	Alpha
0.764123	Alpha
0.773501	Alpha
0.776085	Alpha
0.769439	Alpha
0.770067	Alpha
0.771018	Alpha
0.762427	Alpha
0.756143	Alpha
0.766497	Alpha
0.764372	Alpha
0.775188	Alpha
0.766404	Alpha
0.763926	Alpha
0.76251	Alpha
0.777097	Alpha
0.760412	Alpha
0.761047	Alpha
0.766904	Alpha
0.762478	Alpha
0.76705	Alpha
0.772837	Alpha
0.770163	Alpha
0.772539	Alpha
0.774083	Alpha
0.771644	Alpha
0.761315	Alpha
0.769975	Alpha
0.765028	Alpha
0.76771	Alpha
0.767816	Alpha
0.763458	Alpha
0.765082	Alpha
0.767518	Alpha
0.76791	Alpha
0.771727	Alpha
0.767669	Alpha
0.759682	Alpha
0.756458	Alpha
0.769639	Alpha
0.774146	Alpha
0.755301	Alpha
0.755843	Alpha
0.775577	Alpha
0.775526	Alpha
0.765824	Alpha
0.762424	Alpha
0.769512	Alpha
0.760071	Alpha
0.772438	Alpha
0.763591	Alpha
0.769647	Alpha
0.769311	Alpha
0.762941	Alpha
0.75898	Alpha
0.759016	Alpha
0.761348	Alpha
0.766929	Alpha
0.780383	Alpha
0.779906	Alpha
0.776961	Alpha
0.762195	Alpha
0.763105	Alpha
0.762701	Alpha
0.762633	Alpha
0.779936	Alpha
0.777588	Alpha
0.761005	Alpha
0.762281	Alpha
0.764998	Alpha
0.759649	Alpha
0.772176	Alpha
0.766961	Alpha
0.773826	Alpha
0.774424	Alpha
0.774312	Alpha
0.759149	Alpha
0.774618	Alpha
0.771839	Alpha
0.759574	Alpha
0.780305	Alpha
0.756406	Alpha
0.757439	Alpha
0.761982	Alpha
0.766744	Alpha
0.76805	Alpha
0.772363	Alpha
0.764054	Alpha
0.767492	Alpha
0.770277	Alpha
0.757133	Alpha
0.757664	Alpha
0.755072	Alpha
0.776892	Alpha
0.755469	Alpha
0.75989	Alpha
0.774025	Alpha
0.767521	Alpha
0.774389	Alpha
0.7619	Alpha
0.762067	Alpha
0.766295	Alpha
0.76901	Alpha
0.764159	Alpha
0.768825	Alpha
0.774448	Alpha
0.755513	Alpha
0.767819	Alpha
0.768652	Alpha
0.765396	Alpha
0.765882	Alpha
0.767133	Alpha
0.775044	Alpha
0.755915	Alpha
0.775833	Alpha
0.767917	Alpha
0.770307	Alpha
0.762531	Alpha
0.760934	Alpha
0.751015	Alpha
0.763685	Alpha
0.7631	Alpha
0.770564	Alpha
0.770911	Alpha
0.770124	Alpha
0.77524	Alpha
0.780805	Alpha
0.775766	Alpha
0.77547	Alpha
0.771058	Alpha
0.762578	Alpha
0.770863	Alpha
0.777315	Alpha
0.759822	Alpha
0.761679	Alpha
0.749327	Alpha
0.757721	Alpha
0.754499	Alpha
0.758349	Alpha
0.770494	Alpha
0.769271	Alpha
0.778362	Alpha
0.774947	Alpha
0.767773	Alpha
0.766688	Alpha
0.767704	Alpha
0.765699	Alpha
0.766115	Alpha
0.772475	Alpha
0.772037	Alpha
0.769958	Alpha
0.76754	Alpha
0.774235	Alpha
0.765532	Alpha
0.750478	Alpha
0.751332	Alpha
0.757578	Alpha
0.751765	Alpha
0.750578	Alpha
0.764675	Alpha
0.752025	Alpha
